hobby1	阅读	Reading
hobby2	写作	Writing
hobby3	徒步旅行	Hiking
hobby4	烹饪	Cooking
hobby5	园艺	Gardening
hobby6	绘画	Painting
hobby7	旅游	Traveling
hobby8	摄影	Photography
hobby9	观鸟	Birdwatching
hobby10	唱歌	Singing
hobby11	跳舞	Dancing
hobby12	下棋	Playing
hobby13	弹奏乐器	Playing
hobby14	钓鱼	Fishing
hobby15	烘焙	Baking
hobby16	攀岩	Mountain
hobby17	自行车骑行	Cycling
hobby18	瑜伽	Yoga
hobby19	冥想	Meditation
hobby20	手工艺品制作	Crafting
hobby21	剪纸	Papercutting
hobby22	书法	Calligraphy
hobby23	折纸	Origami
hobby24	编织	Knitting
hobby25	跑步	Running
hobby26	游泳	Swimming
hobby27	冲浪	Surfing
hobby28	滑雪	Skiing
hobby29	滑板	Skateboarding
hobby30	冰雪运动	Snow
hobby31	独木舟	Canoeing
hobby32	钢琴	Piano
hobby33	吉他	Guitar
hobby34	小提琴	Violin
hobby35	大提琴	Cello
hobby36	爵士舞	Jazz
hobby37	印度舞	Indian
hobby38	电子游戏	Playing
hobby39	电影欣赏	Movie
hobby40	电视剧追剧	TV
hobby41	小说创作	Novel
hobby42	游戏设计	Game
hobby43	电子音乐制作	Electronic
hobby44	玩具收藏	Toy
hobby45	珠宝制作	Jewelry
hobby46	美食品鉴	Food
hobby47	茶艺表演	Tea
hobby48	咖啡品鉴	Coffee
hobby49	木工	Woodworking
hobby50	陶艺	Pottery
hobby51	钢笔字	Fountain
hobby52	皮影戏	Shadow
hobby53	武术	Martial
hobby54	围棋	Go
hobby55	长笛	Flute
hobby56	古筝	Guzheng
hobby57	篮球	Basketball
hobby58	足球	Soccer
hobby59	棒球	Baseball
hobby60	排球	Volleyball
hobby61	乒乓球	Table
hobby62	网球	Tennis
hobby63	排舞	Line
hobby64	跆拳道	Taekwondo
hobby65	翻译	Translation
hobby66	摄像	Videography
hobby67	编程	Coding
hobby68	飞行模型	Model
hobby69	机器人制作	Robotics
hobby70	天文学	Astronomy
hobby71	太空探索	Space
hobby72	昆虫观察	Insect
hobby73	陶艺	Ceramics
hobby74	乐高收藏	LEGO
hobby75	钓虫	Bug
hobby76	海滩捡贝壳	Shell
hobby77	珠宝设计	Jewelry
hobby78	古董收藏	Antiquing
hobby79	特技表演	Stunt
hobby80	跳伞	Skydiving
hobby81	滑翔伞	Paragliding
hobby82	攀岩	Rock
hobby83	赛车	Racing
hobby84	航模	Remote
hobby85	舞蹈编排	Dance
hobby86	摄影后期制作	Photo
hobby87	美术创作	Fine
hobby88	航海	Sailing
hobby89	旅行摄影	Travel
hobby90	幽默表演	Comedy
hobby91	魔术表演	Magic
hobby92	气球雕塑	Balloon
hobby93	彩绘	Body
hobby94	曲艺表演	Quyi
hobby95	马术	Horseback
hobby96	垂钓	Fly
hobby97	竹艺	Bamboo
hobby98	印染	Tie-Dyeing
hobby99	露天音乐会	Outdoor
hobby100	吉尼斯纪录挑战	Guinness
hobby101	露天电影夜	Outdoor
hobby102	模型构建	Model
hobby103	潜水	Scuba
hobby104	地理寻宝	Geocaching
hobby105	热气球升空	Hot
hobby106	科幻小说阅读	Science
hobby107	购物	Shopping
hobby108	DIY手工制作	DIY
hobby109	茶道	Tea
hobby110	园艺	Horticulture
hobby111	爬山	Mountain
hobby112	水上运动	Water
hobby113	蛙跳运动	Frog
hobby114	野外露营	Camping
hobby115	漫画创作	Comic
hobby116	睡前故事编写	Bedtime
hobby117	特技摩托车表演	Stunt
hobby118	航天模型制作	Aerospace
hobby119	潜水	Scuba
hobby120	跳伞降落伞	Parachute
hobby121	泛舟	Rafting
hobby122	冰壶运动	Curling
hobby123	打击乐器演奏	Percussion
hobby124	国际象棋	International
hobby125	机械键盘收藏	Mechanical
hobby126	钓鱼比赛	Fishing
hobby127	高尔夫球	Golf
hobby128	航空摄影	Aerial
hobby129	自由潜水	Free
hobby130	拳击	Boxing
hobby131	滑板滑雪	Snowboarding
hobby132	摇滚乐演奏	Rock
hobby133	手指舞	Finger
hobby134	书法展览	Calligraphy
hobby135	风筝制作	Kite
hobby136	科学实验	Scientific
hobby137	车模收藏	Model
hobby138	拼图	Jigsaw
hobby139	蓄能飞行	Soaring
hobby140	短跑运动	Sprinting
hobby141	美甲设计	Nail
hobby142	即兴舞蹈	Improvisational
hobby143	精油调配	Essential
hobby144	摄影比赛	Photography
hobby145	遥控赛车	RC
hobby146	精神算术	Mental
hobby147	无人机操控	Drone
hobby148	竞技射箭	Archery
hobby149	壁球运动	Squash
hobby150	高空攀登	High
hobby151	功夫表演	Kung
hobby152	大炮射击	Cannon
hobby153	卡片魔术	Card
